year,month,city,tournament,mean_high_c,mean_low_c
2016,August,New York,US Open,30.3,22.1
2017,August,New York,US Open,27.2,19.6
2018,August,New York,US Open,29.1,22.2
2019,August,New York,US Open,28.1,20.3
2020,August,New York,US Open,28.8,21.1
2021,August,New York,US Open,28.8,21.8
2022,August,New York,US Open,30.5,22.1
2023,August,New York,US Open,27.6,20.2
2024,August,New York,US Open,28.1,19.8
