year,month,city,tournament,mean_high_c,mean_low_c
2016,June,Paris,French Open,21.7,13.7
2017,June,Paris,French Open,26.5,14.6
2018,June,Paris,French Open,24.5,14.5
2019,June,Paris,French Open,25,14.6
2020,June,Paris,French Open,23.7,13.6
2021,June,Paris,French Open,25.1,14.7
2022,June,Paris,French Open,25.4,14.2
2023,June,Paris,French Open,27.8,15.5
2024,June,Paris,French Open,22.8,12.5
